Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,0,19,0,0,19
3/13/2020,17,0,0,36,0,0,36
3/14/2020,41,1,0,77,1,0,76
3/15/2020,25,1,0,102,2,0,100
3/16/2020,34,1,0,136,3,0,133
3/17/2020,64,1,0,200,4,0,196
3/18/2020,80,3,0,280,7,0,273
3/19/2020,112,3,0,392,10,0,382
3/20/2020,145,4,0,537,14,0,523
3/21/2020,48,2,0,585,16,0,569
3/22/2020,252,4,0,837,20,0,817
3/23/2020,335,15,0,1172,35,0,1137
3/24/2020,216,11,0,1388,46,0,1342
3/25/2020,407,19,0,1795,65,0,1730
3/26/2020,510,18,0,2305,83,0,2222
3/27/2020,441,36,0,2746,119,0,2627
3/28/2020,569,18,0,3315,137,0,3178
3/29/2020,225,14,0,3540,151,0,3389
3/30/2020,485,34,0,4025,185,0,3840
3/31/2020,1212,54,0,5237,239,0,4998
4/1/2020,1187,34,0,6424,273,0,6151
4/2/2020,2726,37,20,9150,310,20,8820
4/3/2020,1147,60,0,10297,370,20,9907
4/4/2020,2199,39,20,12496,409,40,12047
4/5/2020,514,68,10,13010,477,50,12483
4/6/2020,1857,35,0,14867,512,50,14305
4/7/2020,1417,70,0,16284,582,50,15652
4/8/2020,746,70,0,17030,652,50,16328
4/9/2020,1253,50,0,18283,702,50,17531
4/10/2020,970,53,0,19253,755,50,18448
4/11/2020,761,51,0,20014,806,50,19158
4/12/2020,581,34,0,20595,840,50,19705
4/13/2020,421,44,0,21016,884,50,20082
4/14/2020,502,129,0,21518,1013,50,20455
4/15/2020,433,90,0,21951,1103,50,20798
4/16/2020,581,53,0,22532,1156,50,21326
4/17/2020,586,57,0,23118,1213,50,21855
4/18/2020,462,54,0,23580,1267,50,22263
4/19/2020,348,29,0,23928,1296,50,22582
4/20/2020,595,32,0,24523,1328,50,23145
4/21/2020,331,77,0,24854,1405,50,23399
4/22/2020,404,68,0,25258,1473,50,23735
4/23/2020,481,126,0,25739,1599,50,24090
4/24/2020,401,61,14877,26140,1660,14927,9553
4/25/2020,372,43,0,26512,1703,14927,9882
4/26/2020,261,26,0,26773,1729,14927,10117
4/27/2020,295,11,2376,27068,1740,17303,8025
4/28/2020,218,61,0,27286,1801,17303,8182
4/29/2020,374,44,0,27660,1845,17303,8512
4/30/2020,341,60,0,28001,1905,17303,8793
5/1/2020,710,65,0,28711,1970,17303,9438
5/2/2020,429,23,0,29140,1993,17303,9844
5/3/2020,200,19,0,29340,2012,17303,10025
5/4/2020,333,52,0,29673,2064,17303,10306
5/5/2020,323,51,3013,29996,2115,20316,7565
5/6/2020,403,52,0,30399,2167,20316,7916
5/7/2020,253,41,0,30652,2208,20316,8128
5/8/2020,203,19,0,30855,2227,20316,8312
5/9/2020,562,40,0,31417,2267,20316,8834
5/10/2020,183,19,0,31600,2286,20316,8998
5/11/2020,215,22,0,31815,2308,20316,9191
5/12/2020,235,39,2292,32050,2347,22608,7095
5/13/2020,612,34,0,32662,2381,22608,7673
5/14/2020,827,36,0,33489,2417,22608,8464
5/15/2020,348,31,0,33837,2448,22608,8781
5/16/2020,280,31,0,34117,2479,22608,9030
5/17/2020,315,12,0,34432,2491,22608,9333
5/18/2020,277,72,3641,34709,2563,26249,5897
5/19/2020,329,18,0,35038,2581,26249,6208
5/20/2020,278,27,0,35316,2608,26249,6459
5/21/2020,1188,21,0,36504,2629,26249,7626
5/22/2020,421,39,0,36925,2668,26249,8008
5/23/2020,115,21,0,37040,2689,26249,8102
5/24/2020,129,1,0,37169,2690,26249,8230
5/25/2020,640,0,2451,37809,2690,28700,6419
5/26/2020,259,11,0,38068,2701,28700,6667
5/27/2020,436,25,0,38504,2726,28700,7078
5/28/2020,305,19,0,38809,2745,28700,7364
5/29/2020,0,21,0,38809,2766,28700,7343
5/30/2020,772,19,0,39581,2785,28700,8096
5/31/2020,339,6,0,39920,2791,28700,8429
6/1/2020,425,10,3028,40345,2801,31728,5816
6/2/2020,403,38,0,40748,2839,31728,6181
6/3/2020,385,36,0,41133,2875,31728,6530
6/4/2020,429,8,0,41562,2883,31728,6951
6/5/2020,454,35,0,42016,2918,31728,7370
6/6/2020,470,13,0,42486,2931,31728,7827
6/7/2020,330,10,2931,42816,2941,34659,8147
6/8/2020,234,8,2186,43050,2949,36845,6197
6/9/2020,562,13,8,43612,2962,36853,6746
6/10/2020,418,12,13,44030,2974,36866,7152
6/11/2020,442,18,12,44472,2992,36878,7576
6/12/2020,523,10,18,44995,3002,36896,8089
6/13/2020,1288,7,10,46283,3009,36906,9370
6/14/2020,336,10,7,46619,3019,36913,9696
6/15/2020,553,4,3123,47172,3023,40036,7132
6/16/2020,534,24,4,47706,3047,40040,7642
