Date,New Cases,New deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/12/2020,0,0,2,35,0,0,33
3/13/2020,15,0,2,50,0,2,48
3/14/2020,26,1,0,76,1,2,73
3/15/2020,39,1,1,115,2,3,111
3/16/2020,45,1,1,160,3,4,155
3/17/2020,57,1,1,217,4,5,211
3/18/2020,111,2,1,328,6,6,320
3/19/2020,89,1,2,417,7,8,408
3/20/2020,146,2,1,563,9,9,552
3/21/2020,96,1,2,659,10,11,647
3/22/2020,348,1,1,1007,11,12,994
3/23/2020,220,5,1,1227,16,13,1209
3/24/2020,240,2,5,1467,18,18,1447
3/25/2020,510,3,2,1977,21,20,1954
3/26/2020,507,6,3,2484,27,23,2455
3/27/2020,714,17,6,3198,44,29,3152
3/28/2020,840,10,17,4038,54,46,3982
3/29/2020,912,4,10,4950,58,56,4890
3/30/2020,754,11,4,5704,69,60,5633
3/31/2020,1037,14,11,6741,83,71,6656
4/1/2020,1032,16,14,7773,99,85,7672
4/2/2020,1235,43,16,9008,142,101,8864
4/3/2020,1260,26,43,10268,168,144,10098
4/4/2020,1277,25,26,11545,193,170,11350
4/5/2020,805,26,125,12350,219,295,12029
4/6/2020,1279,33,26,13629,252,321,13275
4/7/2020,1118,42,33,14747,294,354,14351
4/8/2020,951,27,42,15698,321,396,15275
4/9/2020,1128,48,27,16826,369,423,16355
4/10/2020,1142,48,48,17968,417,471,17449
4/11/2020,1018,27,128,18986,444,599,18360
4/12/2020,909,15,27,19895,459,626,19254
4/13/2020,1124,38,460,21019,497,1086,19895
4/14/2020,609,72,57,21628,569,1143,20413
4/15/2020,891,43,72,22519,612,1215,21261
4/16/2020,821,54,43,23340,666,1258,22028
4/17/2020,1413,58,96,24753,724,1354,23341
4/18/2020,739,22,58,25492,746,1412,24058
4/19/2020,822,26,22,26314,772,1434,24854
4/20/2020,744,49,26,27058,821,1460,25549
4/21/2020,811,44,49,27869,865,1509,26316
4/22/2020,707,60,44,28576,925,1553,26963
4/23/2020,1072,60,60,29648,985,1613,27975
4/24/2020,885,59,60,30533,1044,1673,28801
4/25/2020,306,9,59,30839,1053,1732,29098
4/26/2020,689,19,9,31528,1072,1741,29768
4/27/2020,610,14,19,32138,1086,1760,30364
4/28/2020,708,83,14,32846,1169,1774,30989
4/29/2020,347,47,83,33193,1216,1857,31289
4/30/2020,497,50,47,33690,1266,1904,31736
5/1/2020,1038,46,50,34728,1312,1954,32728
5/2/2020,735,50,46,35463,1362,2000,33413
5/3/2020,615,15,50,36078,1377,2050,34013
5/4/2020,819,20,15,36897,1397,2065,34812
5/5/2020,542,72,20,37439,1469,2085,35282
5/6/2020,563,68,72,38002,1537,2157,35777
5/7/2020,826,61,68,38828,1598,2225,36542
5/8/2020,371,69,61,39199,1667,2286,36844
5/9/2020,802,47,429,40001,1714,2715,37239
5/10/2020,595,5,47,40596,1719,2762,37829
5/11/2020,386,14,5,40982,1733,2767,38201
5/12/2020,941,47,6061,41923,1780,8828,33048
5/13/2020,479,47,47,42402,1827,8875,33480
5/14/2020,808,47,333,43210,1874,9208,33955
5/15/2020,928,42,47,44138,1916,9255,34841
5/16/2020,673,47,301,44811,1963,9556,35208
5/17/2020,777,8,47,45588,1971,9603,35977
5/18/2020,854,24,8,46442,1995,9611,36807
5/19/2020,502,55,24,46944,2050,9635,37254
5/20/2020,527,44,55,47471,2094,9690,37737
5/21/2020,1204,49,44,48675,2143,9734,38892
5/22/2020,776,45,49,49451,2188,9783,39623
5/23/2020,676,43,45,50127,2231,9828,40256
5/24/2020,740,4,43,50867,2235,9871,40992
5/25/2020,879,15,4,51746,2250,9875,41856
5/26/2020,509,7,891,52255,2257,10766,41482
5/27/2020,379,61,155,52634,2318,10921,41652
5/28/2020,651,44,61,53285,2362,10982,42259
5/29/2020,1212,49,44,54497,2411,11026,43422
5/30/2020,927,34,49,55424,2445,11075,44315
5/31/2020,739,5,620,56163,2450,11695,44463
6/1/2020,667,9,647,56830,2459,12342,44479
6/2/2020,617,70,9,57447,2529,12351,45026
6/3/2020,1317,36,353,58764,2565,12704,46024
6/4/2020,1419,43,36,60183,2608,12740,47400
6/5/2020,1305,50,43,61488,2658,12783,48655
6/6/2020,1270,31,930,62758,2689,13713,49014
6/7/2020,1180,12,701,63938,2701,14414,49512
6/8/2020,966,12,823,64904,2713,15237,49655
6/9/2020,1096,54,12,66000,2767,15249,50697
6/10/2020,1371,34,437,67371,2801,15686,51651
6/11/2020,1698,48,34,69069,2849,15720,53301
6/12/2020,1902,30,918,70971,2879,16638,54303
6/13/2020,2625,47,30,73596,2926,16668,56881
6/14/2020,1972,6,1005,75568,2932,17673,57889
6/15/2020,1758,7,326,77326,2939,17999,59320
6/16/2020,2783,55,632,80109,2994,18631,61423
